"Variable","Cluster","Condition","ICC1"
"Self_Mean","Group","RPM",0.13503329833846
"Self_Mean","Group","GRS",0.13503329833846
"Self_Mean","Experimenter","RPM",0.0258624362600864
"Self_Mean","Experimenter","GRS",0.0258624362600864
"Peer_Mean","Group","RPM",0.265106363196121
"Peer_Mean","Group","GRS",0.265106363196121
"Peer_Mean","Experimenter","RPM",0.104495950902477
"Peer_Mean","Experimenter","GRS",0.104495950902477
"Super_Mean","Group","RPM",0.0365452043901157
"Super_Mean","Group","GRS",0.0365452043901157
"Super_Mean","Experimenter","RPM",0.044097928181906
"Super_Mean","Experimenter","GRS",0.044097928181906
