"Model","Indicator","Loading"
"Supervisor_RPM","Super_Organization",0.880920922653889
"Supervisor_RPM","Super_Physical",0.870894839373302
"Supervisor_RPM","Super_Visual",0.353321882521228
"Supervisor_RPM","Super_Vocal",0.93210927947808
"Peer_RPM","Peer_Organization",0.89022304708771
"Peer_RPM","Peer_Physical",0.796885741542726
"Peer_RPM","Peer_Visual",0.47097299085561
"Peer_RPM","Peer_Vocal",0.901030923231114
"Supervisor_GRS","Super_Organization",0.802456349216487
"Supervisor_GRS","Super_Physical",0.888196045036961
"Supervisor_GRS","Super_Visual",0.414258205213894
"Supervisor_GRS","Super_Vocal",0.94580739578743
"Peer_GRS","Peer_Organization",0.669826305397599
"Peer_GRS","Peer_Physical",0.857289108704864
"Peer_GRS","Peer_Visual",0.45536388647817
"Peer_GRS","Peer_Vocal",0.912631322168277
